Time(ms),X,Y,Z
1000,-0.78529817,3.0071173,8.829816
2000,-0.842759,2.96881,8.848969
3000,-0.8619126,2.873042,8.973468
4000,-1.3215994,2.4516625,9.222465
5000,-1.3120226,2.4133554,9.11712
6000,-1.3215994,2.4133554,9.241618
7000,-1.3503298,2.4708161,9.337387
8000,1.1492168,0.94810385,9.289502
9000,-1.7142484,-0.5746084,10.649409
10000,-0.1340753,-1.7142484,9.864111
11000,0.15322891,-0.2777274,9.557653
12000,0.20111294,-0.2873042,9.615114
13000,0.1340753,-0.2777274,9.624691
14000,0.1436521,-0.23942018,9.56723
15000,0.22026655,-0.23942018,9.595961
16000,0.11492168,-0.24899697,9.605537
17000,0.19153613,-0.2777274,9.576807
18000,0.12449849,-0.25857377,9.528923
19000,0.21068975,-0.22984336,9.615114
20000,0.12449849,-0.2681506,9.576807
21000,0.1436521,-0.25857377,9.595961
22000,0.22026655,-0.22026655,9.586384
23000,0.10534488,-0.24899697,9.653421
24000,0.17238252,-0.31603462,9.557653
25000,0.16280572,-0.23942018,9.662998
26000,0.08619126,-0.2681506,9.576807
27000,0.18195933,-0.23942018,9.624691
28000,0.16280572,-0.25857377,9.595961
29000,0.18195933,-0.20111294,9.615114
30000,0.15322891,-0.24899697,9.615114
31000,0.19153613,-0.25857377,9.557653
